Majid Khan,1.0,6,0,6,0,6.0,England,Birmingham,Tue Sep 03 00:00:00 BST 1974
GG Arnold,6.0,6,3,7,1,1.16,Pakistan,Birmingham,Tue Sep 03 00:00:00 BST 1974
P Lever,4.0,6,0,22,0,5.5,Pakistan,Birmingham,Tue Sep 03 00:00:00 BST 1974
CM Old,5.0,6,0,25,0,5.0,Pakistan,Birmingham,Tue Sep 03 00:00:00 BST 1974
DL Underwood,3.0,6,0,16,1,5.33,Pakistan,Birmingham,Tue Sep 03 00:00:00 BST 1974
P Lever,5.0,8,0,24,1,3.6,Australia,Melbourne,Wed Jan 01 00:00:00 GMT 1975
GG Arnold,8.0,8,2,30,2,2.81,Australia,Melbourne,Wed Jan 01 00:00:00 GMT 1975
AW Greig,7.833333333333333,8,0,48,2,4.72,Australia,Melbourne,Wed Jan 01 00:00:00 GMT 1975
CM Old,8.0,8,0,57,4,5.34,Australia,Melbourne,Wed Jan 01 00:00:00 GMT 1975
DL Underwood,6.0,8,0,20,0,2.5,Australia,Melbourne,Wed Jan 01 00:00:00 GMT 1975
JR Thomson,7.0,8,1,33,1,3.53,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
AG Hurst,8.0,8,0,27,2,2.53,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
TJ Jenner,8.0,8,1,28,0,2.62,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
KD Walters,3.0,8,0,32,0,8.0,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
MHN Walker,8.0,8,0,27,1,2.53,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
GS Chappell,3.0,8,0,24,0,6.0,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
WJ Edwards,0.16666666666666666,8,0,0,0,0.0,England,Melbourne,Wed Jan 01 00:00:00 GMT 1975
RO Collinge,6.166666666666667,8,0,17,2,2.08,England,Dunedin,Sat Mar 08 00:00:00 GMT 1975
Sir RJ Hadlee,7.0,8,0,21,2,2.25,England,Dunedin,Sat Mar 08 00:00:00 GMT 1975
HJ Howarth,7.0,8,0,35,3,3.75,England,Dunedin,Sat Mar 08 00:00:00 GMT 1975
BE Congdon,7.0,8,0,25,1,2.67,England,Dunedin,Sat Mar 08 00:00:00 GMT 1975
DR Hadlee,7.0,8,1,21,2,2.25,England,Dunedin,Sat Mar 08 00:00:00 GMT 1975
GG Arnold,2.0,8,0,6,0,2.25,New Zealand,Dunedin,Sat Mar 08 00:00:00 GMT 1975
M Hendrick,2.0,8,0,9,0,3.37,New Zealand,Dunedin,Sat Mar 08 00:00:00 GMT 1975
P Lever,7.0,8,0,35,4,3.88,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
CM Old,6.0,8,0,32,1,4.0,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
M Hendrick,4.0,8,0,21,1,3.93,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
AW Greig,5.0,8,0,34,0,5.1,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
FJ Titmus,7.0,8,0,53,3,5.67,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
B Wood,6.0,8,0,41,0,5.12,New Zealand,Wellington,Sun Mar 09 00:00:00 GMT 1975
